Command,Description,Usage,Argument types,Function
DTNOLOOK,Set interval for conflict detection,DTNOLOOK [time],['float'], ASAS.SetDtNoLook of bluesky.traffic.asas.asas.ASAS object
DUMPRTE,Write route to output/routelog.txt,DUMPRTE acid,['acid'],
ECHO,Show a text in command window for user to read,ECHO txt,['string'], ScreenIO.echo of bluesky.simulation.qtgl.screenio.ScreenIO object
ENG,Specify a different engine type,"ENG acid,[engine_id]","['acid', 'txt']", PerfBADA.engchange of bluesky.traffic.performance.legacy.perfbada.PerfBADA object
FF,Fast forward the simulation,FF [timeinsec],['time'], Simulation.fastforward of bluesky.simulation.qtgl.simulation.Simulation object
FILTERALT,Display aircraft on only a selected range of altitudes,"FILTERALT ON/OFF,[bottom,top]","['bool', 'alt', 'alt']", ScreenIO.filteralt of bluesky.simulation.qtgl.screenio.ScreenIO object
FIXDT,Fix the time step,FIXDT ON/OFF [tend],"['onoff', 'time']", Simulation.setFixdt of bluesky.simulation.qtgl.simulation.Simulation object
GETWIND,Get wind at a specified position (and optionally at altitude),"GETWIND lat,lon,[alt]","['latlon', 'alt']", WindSim.get of bluesky.traffic.windsim.WindSim object
HDG,Heading command (autopilot),"HDG acid,hdg (deg,True)","['acid', 'float']", Autopilot.selhdgcmd of bluesky.traffic.autopilot.Autopilot object
HELP,"Show help on a command, show pdf or write list of commands to file",HELP [command]/pdf/ >filename,['txt'],
HOLD,Pause(hold) simulation,HOLD,[], Simulation.pause of bluesky.simulation.qtgl.simulation.Simulation object
IC,Initial condition: (re)start simulation and open scenario file,IC [IC/filename],['string'],function ic
INSEDIT,Insert text op edit line in command window,INSEDIT txt,['string'], ScreenIO.cmdline of bluesky.simulation.qtgl.screenio.ScreenIO object
LINE,Draw a line on the radar screen,"LINE name,lat,lon,lat,lon","['txt', 'latlon', 'latlon']",
LISTRTE,Show list of route in window per page of 5 waypoints,"LISTRTE acid, [pagenr]","['acid', 'int']",
LNAV,LNAV (lateral FMS mode) switch for autopilot,"LNAV acid,[ON/OFF]","['acid', 'onoff']", Autopilot.setLNAV of bluesky.traffic.autopilot.Autopilot object
MAKEDOC,Make markdown templates for all stack functions that don't have a doc page yet.,MAKEDOC,[],function makedoc
MCRE,Multiple random create of n aircraft in current view,"MCRE n, [type/*, alt/*, spd/*, dest/*]","['int', 'txt', 'alt', 'spd', 'txt']", Traffic.mcreate of bluesky.traffic.traffic.Traffic object
MOVE,Move an aircraft to a new position,"MOVE acid,lat,lon,[alt,hdg,spd,vspd]","['acid', 'latlon', 'alt', 'hdg', 'spd', 'vspd']", Traffic.move of bluesky.traffic.traffic.Traffic object
ND,Show navigation display with CDTI,ND acid,['txt'],
NOISE,Turbulence/noise switch,NOISE [ON/OFF],['onoff'], Traffic.setNoise of bluesky.traffic.traffic.Traffic object
NOM,Set nominal acceleration for this aircraft (perf model),NOM acid,['acid'], Traffic.nom of bluesky.traffic.traffic.Traffic object
NORESO,Switch off conflict resolution for this aircraft,NORESO [acid],['string'], ASAS.SetNoreso of bluesky.traffic.asas.asas.ASAS object
OP,Start/Run simulation or continue after pause,OP,[], Simulation.start of bluesky.simulation.qtgl.simulation.Simulation object
ORIG,Set origin airport of aircraft,"ORIG acid, latlon/airport","['acid', 'wpt/latlon']",
PAN,"Pan screen (move view) to a waypoint, direction or aircraft",PAN latlon/acid/airport/waypoint/LEFT/RIGHT/ABOVE/DOWN,['pandir/latlon'], ScreenIO.pan of bluesky.simulation.qtgl.screenio.ScreenIO object
PCALL,Call commands in another scenario file,PCALL filename [REL/ABS],"['txt', 'txt']",
PLOT,Create a graph of variables x versus y.,"PLOT x, y [,dt,color,figure]","['txt', 'txt', 'txt', 'txt', 'txt']",function plot
PLUGINS,"List all plugins, load a plugin, or remove a loaded plugin.",PLUGINS LIST or LOAD plugin or REMOVE plugin,"['txt', 'txt']",function manage
POLY,Define a polygon-shaped area,"POLY name,lat,lon,lat,lon, ...","['txt', 'latlon', '...']",
POLYALT,Define a polygon-shaped area in 3D: between two altitudes,"POLYALT name,top,bottom,lat,lon,lat,lon, ...","['txt', 'alt', 'alt', 'latlon', '...']",
POS,"Get info on aircraft, airport or waypoint",POS acid/waypoint,['acid/wpt'], Traffic.poscommand of bluesky.traffic.traffic.Traffic object
PRIORULES,Define priority rules (right of way) for conflict resolution,PRIORULES [ON/OFF PRIOCODE],"['onoff', ' txt']", ASAS.SetPrio of bluesky.traffic.asas.asas.ASAS object
QUIT,Quit program/Stop simulation,QUIT,[], Simulation.stop of bluesky.simulation.qtgl.simulation.Simulation object
RESET,Reset simulation,RESET,[], Simulation.reset of bluesky.simulation.qtgl.simulation.Simulation object
RESO,Set resolution method,RESO [method],['txt'], ASAS.SetCRmethod of bluesky.traffic.asas.asas.ASAS object
RESOOFF,Switch for conflict resolution module,RESOOFF [acid],['string'], ASAS.SetResooff of bluesky.traffic.asas.asas.ASAS object
RFACH,Set resolution factor horizontal (to add a margin),RFACH [factor],['float'], ASAS.SetResoFacH of bluesky.traffic.asas.asas.ASAS object
RFACV,Set resolution factor vertical (to add a margin),RFACV [factor],['float'], ASAS.SetResoFacV of bluesky.traffic.asas.asas.ASAS object
RMETHH,Set resolution method to be used horizontally,RMETHH [method],['txt'], ASAS.SetResoHoriz of bluesky.traffic.asas.asas.ASAS object
RMETHV,Set resolution method to be used vertically,RMETHV [method],['txt'], ASAS.SetResoVert of bluesky.traffic.asas.asas.ASAS object
RSZONEDH,Set half of vertical dimension of resolution zone in ft,RSZONEDH [height],['float'], ASAS.SetPZHm of bluesky.traffic.asas.asas.ASAS object
RSZONER,Set horizontal radius of resolution zone in nm,RSZONER [radius],['float'], ASAS.SetPZRm of bluesky.traffic.asas.asas.ASAS object
SAVEIC,Save current situation as IC,SAVEIC filename,['string'],function saveic
SCEN,Give current situation a scenario name,SCEN scenname,['string'],function scenarioinit
SCHEDULE,Schedule a stack command at a given time,"SCHEDULE time, COMMAND+ARGS","['time', 'string']",
SEED,"Set seed for all functions using a randomizer (e.g.mcre,noise)",SEED value,['int'],function setSeed
SPD,Speed command (autopilot),"SPD acid,spd (CAS-kts/Mach)","['acid', 'spd']", Autopilot.selspdcmd of bluesky.traffic.autopilot.Autopilot object
SSD,Show state-space diagram (=conflict prevention display/predictive ASAS),"SSD ALL/CONFLICTS/OFF or SSD acid0, acid1, ...","['txt', '...']", ScreenIO.showssd of bluesky.simulation.qtgl.screenio.ScreenIO object
SWRAD,Switch on/off elements and background of map/radar view,SWRAD GEO/GRID/APT/VOR/WPT/LABEL/ADSBCOVERAGE/TRAIL [dt]/[value],"['txt', 'float']", ScreenIO.feature of bluesky.simulation.qtgl.screenio.ScreenIO object
SYMBOL,Toggle aircraft symbol,SYMBOL,[], ScreenIO.symbol of bluesky.simulation.qtgl.screenio.ScreenIO object
SYN,Macro for generating synthetic (geometric) traffic scenarios," SYN: Possible subcommands: HELP, SIMPLE, SIMPLED, DIFG, SUPER,MATRIX, FLOOR, TAKEOVER, WALL, ROW, COLUMN, DISP","['txt', '...']",function process
TIME,Set simulated clock time,TIME RUN(default) / HH:MM:SS.hh / REAL / UTC ,['txt'], Simulation.setclock of bluesky.simulation.qtgl.simulation.Simulation object
TRAIL,Toggle aircraft trails on/off,"TRAIL ON/OFF, [dt] OR TRAIL acid color","['acid/bool', 'float/txt']", Trails.setTrails of bluesky.traffic.trails.Trails object
VNAV,"Switch on/off VNAV mode, the vertical FMS mode (autopilot)","VNAV acid,[ON/OFF]","['acid', 'onoff']", Autopilot.setVNAV of bluesky.traffic.autopilot.Autopilot object
VS,Vertical speed command (autopilot),"VS acid,vspd (ft/min)","['acid', 'vspd']", Autopilot.selvspdcmd of bluesky.traffic.autopilot.Autopilot object
WIND,Define a wind vector as part of the 2D or 3D wind field,"WIND lat,lon,alt/*,dir,spd,[alt,dir,spd,alt,...]","['latlon', 'alt', 'float', 'float', '...', '...', '...']", WindSim.add of bluesky.traffic.windsim.WindSim object
ZONEDH,Set half of the vertical protected zone dimensions in ft,ZONEDH [height],['float'], ASAS.SetPZH of bluesky.traffic.asas.asas.ASAS object
ZONER,Set the radius of the horizontal protected zone dimensions in nm,ZONER [radius],['float'], ASAS.SetPZR of bluesky.traffic.asas.asas.ASAS object
ZOOM,"Zoom display in/out, you can also use +++ or -----",ZOOM IN/OUT or factor,['float/txt'],
,,,,
,,,,
,,,,
 Synonyms (equivalent commands),,,,
?,HELP,"Show help on a command, show pdf or write list of commands to file",,
ADDAIRWAY,ADDAWY,,,
AIRPORT,POS,"Get info on aircraft, airport or waypoint",,
AIRWAYS,AIRWAY,Get info on airway or connections of a waypoint,,
AWY,POS,"Get info on aircraft, airport or waypoint",,
CALL,PCALL,Call commands in another scenario file,,
CLOSE,QUIT,Quit program/Stop simulation,,
CONTINUE,OP,Start/Run simulation or continue after pause,,
CREATE,CRE,Create an aircraft,,
DELETE,DEL,"Delete command (aircraft, wind, area)",,
DELROUTE,DELRTE,Delete for this a/c the complete route/dest/orig (FMS),,
DELWP,DELWPT,Delete a waypoint from a route (FMS),,
DIRECTTO,DIRECT,Go direct to specified waypoint in route (FMS),,
DIRTO,DIRECT,Go direct to specified waypoint in route (FMS),,
DISP,SWRAD,Switch on/off elements and background of map/radar view,,
END,QUIT,Quit program/Stop simulation,,
EXIT,QUIT,Quit program/Stop simulation,,
FWD,FF,Fast forward the simulation,,
HEADING,HDG,Heading command (autopilot),,
HMETH,RMETHH,Set resolution method to be used horizontally,,
HRESOM,RMETHH,Set resolution method to be used horizontally,,
HRESOMETH,RMETHH,Set resolution method to be used horizontally,,
LOAD,IC,Initial condition: (re)start simulation and open scenario file,,
OPEN,IC,Initial condition: (re)start simulation and open scenario file,,
PAUSE,HOLD,Pause(hold) simulation,,
Q,QUIT,Quit program/Stop simulation,,
RESOFACH,RFACH,Set resolution factor horizontal (to add a margin),,
RESOFACV,RFACV,Set resolution factor vertical (to add a margin),,
RTF,DTMULT,Sel multiplication factor for fast-time simulation,,
RUN,OP,Start/Run simulation or continue after pause,,
RUNWAYS,POS,"Get info on aircraft, airport or waypoint",,
SAVE,SAVEIC,Save current situation as IC,,
SPEED,SPD,Speed command (autopilot),,
START,OP,Start/Run simulation or continue after pause,,
STOP,QUIT,Quit program/Stop simulation,,
TRAILS,TRAIL,Toggle aircraft trails on/off,,
TURN,HDG,Heading command (autopilot),,
VMETH,RMETHV,Set resolution method to be used vertically,,
VRESOM,RMETHV,Set resolution method to be used vertically,,
VRESOMETH,RMETHV,Set resolution method to be used vertically,,
